plots,splots,block,irrigation,cultivar,inoculum,exp_unit
101,1,1,optimal,Petaluma,control,1
101,2,1,optimal,Monterey,inoculated,2
101,3,1,optimal,Monterey,control,3
101,4,1,optimal,Petaluma,inoculated,4
102,1,1,low,Petaluma,inoculated,5
102,2,1,low,Petaluma,control,6
102,3,1,low,Monterey,control,7
102,4,1,low,Monterey,inoculated,8
103,1,1,high,Monterey,inoculated,9
103,2,1,high,Petaluma,inoculated,10
103,3,1,high,Monterey,control,11
103,4,1,high,Petaluma,control,12
104,1,2,high,Petaluma,control,13
104,2,2,high,Monterey,control,14
104,3,2,high,Monterey,inoculated,15
104,4,2,high,Petaluma,inoculated,16
105,1,2,optimal,Petaluma,inoculated,17
105,2,2,optimal,Monterey,inoculated,18
105,3,2,optimal,Monterey,control,19
105,4,2,optimal,Petaluma,control,20
106,1,2,low,Monterey,inoculated,21
106,2,2,low,Petaluma,control,22
106,3,2,low,Monterey,control,23
106,4,2,low,Petaluma,inoculated,24
107,1,3,high,Petaluma,inoculated,25
107,2,3,high,Petaluma,control,26
107,3,3,high,Monterey,control,27
107,4,3,high,Monterey,inoculated,28
108,1,3,optimal,Monterey,inoculated,29
108,2,3,optimal,Monterey,control,30
108,3,3,optimal,Petaluma,inoculated,31
108,4,3,optimal,Petaluma,control,32
109,1,3,low,Petaluma,control,33
109,2,3,low,Monterey,control,34
109,3,3,low,Monterey,inoculated,35
109,4,3,low,Petaluma,inoculated,36
110,1,4,optimal,Monterey,inoculated,37
110,2,4,optimal,Monterey,control,38
110,3,4,optimal,Petaluma,control,39
110,4,4,optimal,Petaluma,inoculated,40
111,1,4,low,Monterey,inoculated,41
111,2,4,low,Monterey,control,42
111,3,4,low,Petaluma,inoculated,43
111,4,4,low,Petaluma,control,44
112,1,4,high,Monterey,inoculated,45
112,2,4,high,Monterey,control,46
112,3,4,high,Petaluma,inoculated,47
112,4,4,high,Petaluma,control,48
